hostname,ip,vendor
CAH,192.168.2.216,Aruba
SW-AA148-Aruba,192.168.2.41,Aruba
SWA-AA144-Access,192.168.2.1,Aruba
baseball-pressbox,192.168.2.27,Aruba
fortigate,192.168.1.1,Fortinet
maintenance,192.168.2.205,Aruba
sw-a144-1-aruba,192.168.2.201,Aruba
sw-a144-2-aruba,192.168.2.202,Aruba
sw-aa144-a24,192.168.2.71,Cisco
sw-aa144-a48,192.168.2.70,Cisco
sw-aa144-core-usd480,192.168.2.5,Cisco
sw-cos109,192.168.2.171,Aruba
sw-e208,192.168.2.24,Cisco
sw-healthcenter,192.168.2.212,Aruba
sw-sa208,192.168.2.194,Aruba
sw-softballpb,192.168.2.204,Aruba
sw-t122-t24,192.168.2.73,Cisco
sw-t122-t48,192.168.2.72,Cisco
swa-a161,192.168.2.197,Aruba
swa-aa105,192.168.2.199,Aruba
swa-h128,10.70.89.1,Aruba
swa-m201,192.168.2.195,Aruba
swa-scc,192.168.2.203,Aruba
swa-slc151,192.168.2.175,Aruba
swa-slf,192.168.2.178,Aruba
swa-slg,192.168.2.179,Aruba
swa-slh,192.168.2.180,Aruba
swa-slj,192.168.2.181,Aruba
swa-slr,192.168.2.182,Aruba
swa-sls,192.168.2.183,Aruba
swa-slt,192.168.2.184,Aruba
swa-su121,192.168.2.200,Aruba
swa-t122,192.168.2.190,Aruba
swa-ta107,192.168.2.189,Aruba
swa-tb141,192.168.2.186,Aruba
swa-td201,192.168.2.187,Aruba
swa-tt103,192.168.2.188,Aruba
